line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
67,Ross,God save the King.,1,2,2,"Act 1, Scene 2",0.0,0.274,0.726,0.6486,pos,0.18583333333333332,0.42449999999999993,0.36781871893638035,0,0.42068195999999997,0.11419838666666667,1,0,0.33333333333333337,0.12719523809523808,0.022787878787878774,0.6486
69,Ross,"From Fife, great king,",1,2,2,"Act 1, Scene 2",0.0,0.423,0.577,0.6249,pos,0.053142857142857124,0.397925,0.3049896104787833,1,0.39050001,0.01902018857142857,1,0,0.14285714285714285,-0.01396666666666669,-0.002320779220779251,0.6249
70,Ross,Where the Norweyan banners flout the sky,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.046499999999999986,0.41368,0.4719722184620616,1,0.0,0.016642665,0,0,0.125,-0.06789047619047624,-0.008963636363636389,0.31245
71,Ross,And fan our people cold.,1,2,2,"Act 1, Scene 2",0.0,0.635,0.365,0.3182,pos,0.018855555555555542,0.28396,0.4109404908256182,1,0.10125123999999999,0.010246225555555556,1,0,0.0,-0.07942063492063496,-0.018217171717171736,0.3143666666666667
72,Ross,"Norway himself, with terrible numbers,",1,2,2,"Act 1, Scene 2",0.437,0.563,0.0,-0.4767,neg,-0.012630000000000011,0.30758,0.4236751939870919,1,-0.22724289,0.0004600030000000019,0,1,-0.10000000000000003,-0.08738714285714289,-0.04118454545454547,-0.05283333333333334
73,Ross,"Assisted by that most disloyal traitor,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.0046909090909090815,0.30758,0.4236751939870919,1,0.0,0.0032953127272727293,0,0,0.0,-0.07006623376623379,0.01892727272727271,-0.05283333333333334
74,Ross,"The Thane of Cawdor, began a dismal conflict,",1,2,2,"Act 1, Scene 2",0.512,0.488,0.0,-0.743,neg,-0.05427272727272728,0.2844,0.32241292622970313,1,-0.552049,-0.034948501818181814,0,1,-0.09090909090909094,-0.10805844155844158,-6.938893903907228e-18,-0.4065666666666667
75,Ross,"Till that Bellona’s bridegroom, lapped in proof,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.1110818181818182,0.24825999999999998,0.3051332299176869,1,0.0,-0.07044850272727272,0,0,-0.18181818181818182,-0.1648675324675325,-0.07634545454545456,-0.24766666666666667
76,Ross,"Confronted him with self-comparisons,",1,2,2,"Act 1, Scene 2",0.375,0.625,0.0,-0.2023,neg,-0.1110818181818182,0.28384,0.3485953198194146,1,-0.04092529,-0.07044850272727272,0,1,-0.18181818181818182,-0.13632467532467535,-0.07634545454545456,-0.3151
77,Ross,"Point against point, rebellious arm ’gainst arm,",1,2,2,"Act 1, Scene 2",0.268,0.732,0.0,-0.296,neg,-0.14000909090909092,0.13523999999999997,0.18685453433085308,1,-0.08761599999999999,-0.0796531609090909,0,1,-0.2727272727272727,-0.19673290043290045,-0.07634545454545456,-0.1661
78,Ross,"Curbing his lavish spirit. And to conclude,",1,2,2,"Act 1, Scene 2",0.0,0.779,0.221,0.1779,pos,-0.09667272727272729,0.13523999999999997,0.18685453433085308,1,0.03164841,-0.05899471636363636,1,0,-0.1818181818181818,-0.09396796536796538,-0.07634545454545456,-0.10679999999999999
79,Ross,The victory fell on us.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.09667272727272729,0.09477999999999996,0.17064208742276904,1,0.0,-0.05899471636363636,0,0,-0.1818181818181818,-0.08814891774891777,-0.07634545454545456,-0.039366666666666654
81,Ross,"That now Sweno,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.029127272727272727,0.03557999999999998,0.07955929863944224,2,0.0,-0.008808443636363633,0,0,-0.09090909090909091,-0.022260606060606064,-0.02185454545454545,0.0
82,Ross,"The Norways’ king, craves composition.",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.021545454545454545,0.0,0.0,2,0.0,0.01943653454545455,0,0,0.0,0.04356450216450215,-0.031281818181818175,0.0
83,Ross,Nor would we deign him burial of his men,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.09192727272727273,0.0,0.0,2,0.0,0.052890616363636365,0,0,0.1818181818181818,0.12266060606060605,0.06668181818181819,0.0
84,Ross,Till he disbursèd at Saint Colme’s Inch,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.0841272727272727,0.0,0.0,2,0.0,0.04760377636363637,0,0,0.1818181818181818,0.11486060606060602,0.04612727272727272,0.0
85,Ross,Ten thousand dollars to our general use.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.11862727272727272,0.11147999999999998,0.24927685813167647,2,0.0,0.07297162636363637,0,0,0.1818181818181818,0.11397965367965367,0.08062727272727274,0.0
90,Ross,I’ll see it done.,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.11862727272727272,0.22585999999999995,0.3093140281332225,3,0.0,0.07297162636363637,0,0,0.1818181818181818,0.12905108225108225,0.15697272727272726,0.0
184,Ross,"The King hath happily received, Macbeth,",1,3,3,"Act 1, Scene 3",0.0,0.581,0.419,0.5574,pos,0.11862727272727272,0.30222,0.40981226189561476,4,0.31069476,0.07297162636363637,1,0,0.1818181818181818,0.08586536796536794,0.0493,0.5574
185,Ross,"The news of thy success, and, when he reads",1,3,3,"Act 1, Scene 3",0.0,0.684,0.316,0.5719,pos,0.1348,0.41369999999999996,0.43407302611427023,4,0.32706960999999996,0.07584875454545455,1,0,0.2727272727272727,0.10203809523809522,0.0,0.56465
186,Ross,"Thy personal venture in the rebels’ fight,",1,3,3,"Act 1, Scene 3",0.302,0.698,0.0,-0.3818,neg,0.1348,0.41369999999999996,0.43407302611427023,4,-0.14577123999999997,0.07584875454545455,0,1,0.2727272727272727,0.10203809523809522,0.0,0.24916666666666668
187,Ross,His wonders and his praises do contend,1,3,3,"Act 1, Scene 3",0.0,0.521,0.479,0.5574,pos,0.07200000000000001,0.30222,0.40981226189561476,4,0.31069476,0.03246651454545455,1,0,0.18181818181818182,0.018266666666666653,0.0,0.24916666666666665
188,Ross,"Which should be thine or his. Silenced with that,",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.07200000000000001,0.22341999999999995,0.3402653229466675,4,0.0,0.03246651454545455,0,0,0.18181818181818182,0.018266666666666653,0.0,0.058533333333333326
189,Ross,In viewing o’er the rest o’ th’ selfsame day,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.1483818181818182,0.14705999999999997,0.24197621370705003,4,0.0,0.09664251818181818,0,0,0.2727272727272727,0.07188181818181819,0.0,0.18579999999999997
190,Ross,"He finds thee in the stout Norweyan ranks,",1,3,3,"Act 1, Scene 3",0.0,0.805,0.195,0.1779,pos,0.09770909090909093,0.17373999999999995,0.3377276150983214,4,0.03164841,0.06839753999999999,1,0,0.18181818181818182,-0.04462424242424244,0.0,0.0593
191,Ross,"Nothing afeard of what thyself didst make,",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.12210000000000001,0.17373999999999995,0.3377276150983214,4,0.0,0.10283994272727272,0,0,0.18181818181818182,-0.020233333333333353,0.07638181818181819,0.0593
192,Ross,Strange images of death. As thick as tale,1,3,3,"Act 1, Scene 3",0.487,0.513,0.0,-0.6908,neg,0.1568090909090909,0.34178,0.5462060124165605,4,-0.47720463999999996,0.11609187363636363,0,1,0.2727272727272727,-0.011300432900432922,0.03634545454545454,-0.17096666666666663
193,Ross,"Came post with post, and every one did bear",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.15534545454545456,0.3061999999999999,0.5428343688455991,4,0.0,0.11448377636363634,0,0,0.2727272727272727,-0.012764069264069255,0.08555454545454548,-0.23026666666666665
194,Ross,"Thy praises in his kingdom’s great defense,",1,3,3,"Act 1, Scene 3",0.0,0.308,0.692,0.8402,pos,0.15534545454545456,0.47424,0.6506179923734049,4,0.7059360399999999,0.11448377636363634,1,0,0.2727272727272727,0.005416883116883098,0.07862727272727275,0.049799999999999955
195,Ross,And poured them down before him.,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.15534545454545456,0.33607999999999993,0.46019649281584046,4,0.0,0.11448377636363634,0,0,0.2727272727272727,0.03195974025974026,0.0022454545454545782,0.28006666666666663
200,Ross,"And for an earnest of a greater honor,",1,3,3,"Act 1, Scene 3",0.0,0.357,0.643,0.8402,pos,0.18847272727272726,0.44433999999999996,0.4235822210622159,5,0.7059360399999999,0.13834203818181817,1,0,0.2727272727272727,0.11982034632034629,0.050627272727272715,0.8402
201,Ross,"He bade me, from him, call thee Thane of Cawdor,",1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.22850909090909094,0.2763,0.39282097703661384,5,0.0,0.15597405272727272,0,0,0.36363636363636365,0.17561861471861473,0.09066363636363642,0.4201
202,Ross,"In which addition, hail, most worthy thane,",1,3,3,"Act 1, Scene 3",0.0,0.527,0.473,0.5413,pos,0.2842909090909091,0.2763,0.39282097703661384,5,0.29300569,0.19881448909090907,1,0,0.36363636363636365,0.21226233766233765,0.14644545454545457,0.46049999999999996
203,Ross,For it is thine.,1,3,3,"Act 1, Scene 3",0.0,1.0,0.0,0.0,neu,0.22333636363636364,0.21671999999999994,0.29675629226690364,5,0.0,0.15794446636363635,0,0,0.2727272727272727,0.11841255411255411,0.12552727272727274,0.18043333333333333
880,Ross,So all.,2,3,10,"Act 2, Scene 3",0.0,1.0,0.0,0.0,neu,0.14695454545454548,0.30479999999999996,0.281305856675612,6,0.0,0.09376846272727271,0,0,0.18181818181818182,0.1753021645021645,0.1810363636363637,0.0
883,Ross,Well contented.,2,3,10,"Act 2, Scene 3",0.0,0.0,1.0,0.5423,pos,0.10361818181818183,0.21197999999999997,0.28723476460902136,7,0.29408929,0.07311001818181817,1,0,0.09090909090909094,0.15327056277056275,0.05310909090909095,0.5423
902,Ross,"Ha, good father,",2,4,11,"Act 2, Scene 4",0.0,0.408,0.592,0.4404,pos,0.0045090909090909174,0.34608,0.48283706879236177,8,0.19395216,0.003252196363636361,1,0,-0.09090909090909094,0.07804718614718613,0.13556363636363641,0.4404
903,Ross,"Thou seest the heavens, as troubled with man’s act,",2,4,11,"Act 2, Scene 4",0.236,0.551,0.213,-0.0772,neg,0.042827272727272735,0.34608,0.48283706879236177,8,-0.005959840000000001,0.019403309999999997,0,1,0.0,0.1484367965367965,0.16040000000000004,0.1816
904,Ross,"Threatens his bloody stage. By th’ clock ’tis day,",2,4,11,"Act 2, Scene 4",0.44,0.56,0.0,-0.6705,neg,-0.031072727272727266,0.33296,0.43410653646311276,8,-0.44957025,-0.01393962181818182,0,1,-0.18181818181818182,0.04743203463203462,0.08650000000000004,-0.10243333333333332
905,Ross,And yet dark night strangles the traveling lamp.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.006236363636363631,0.2948799999999999,0.2786134903410095,8,0.0,-0.007154327272727276,0,0,-0.09090909090909088,0.04138268398268396,0.01660909090909096,-0.24923333333333333
906,Ross,Is ’t night’s predominance or the day’s shame,2,4,11,"Act 2, Scene 4",0.307,0.693,0.0,-0.4767,neg,0.052727272727272734,0.36373999999999995,0.4261975164169775,8,-0.22724289,0.031089487272727267,0,1,0.0,0.1204177489177489,0.04466363636363641,-0.3824
907,Ross,That darkness does the face of earth entomb,2,4,11,"Act 2, Scene 4",0.222,0.778,0.0,-0.25,neg,-0.03489090909090909,0.28395999999999993,0.34446772417746174,8,-0.0625,-0.01179701636363637,0,1,-0.18181818181818177,0.001332900432900401,0.018000000000000037,-0.24223333333333333
908,Ross,When living light should kiss it?,2,4,11,"Act 2, Scene 4",0.0,0.641,0.359,0.4215,pos,-0.07492727272727273,0.33859999999999996,0.3864503034026495,8,0.17766225,-0.029429030909090916,1,0,-0.2727272727272727,0.002848917748917712,0.04269090909090913,-0.10173333333333334
913,Ross,And Duncan’s horses (a thing most strange and,2,4,11,"Act 2, Scene 4",0.23,0.77,0.0,-0.2716,neg,-0.12240000000000001,0.37298,0.41055171172460103,9,-0.07376656000000001,-0.0615490781818182,0,1,-0.2727272727272727,-0.1028666666666667,-0.12980909090909087,-0.2716
914,Ross,"certain),",2,4,11,"Act 2, Scene 4",0.0,0.0,1.0,0.2732,pos,-0.01214545454545455,0.4072799999999999,0.45821917572271015,9,0.07463824,0.006056334545454531,1,0,-0.09090909090909088,0.0037116883116882805,0.018763636363636406,0.0007999999999999952
915,Ross,"Beauteous and swift, the minions of their race,",2,4,11,"Act 2, Scene 4",0.0,0.531,0.469,0.6486,pos,-0.01214545454545455,0.32297999999999993,0.4290362082621931,9,0.42068195999999997,0.006056334545454531,1,0,-0.09090909090909088,-0.028216883116883147,0.018763636363636406,0.2167333333333333
916,Ross,"Turned wild in nature, broke their stalls, flung out,",2,4,11,"Act 2, Scene 4",0.259,0.741,0.0,-0.4215,neg,0.07122727272727272,0.38854,0.5075181395772962,9,-0.17766225,0.044346793636363624,0,1,0.09090909090909088,0.055155844155844125,0.08567272727272732,0.1667666666666667
917,Ross,"Contending ’gainst obedience, as they would",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.09395454545454546,0.44236,0.5581070372249394,9,0.0,0.05002861181818181,0,0,0.18181818181818182,0.07852597402597401,0.13930909090909097,0.0757
918,Ross,Make war with mankind.,2,4,11,"Act 2, Scene 4",0.565,0.435,0.0,-0.5994,neg,0.05563636363636364,0.3126399999999999,0.44306328780434956,9,-0.3592803600000001,0.03387749818181817,0,1,0.09090909090909094,0.028303030303030278,4.85722573273506e-17,-0.3403
921,Ross,"They did so, to th’ amazement of mine eyes",2,4,11,"Act 2, Scene 4",0.0,0.696,0.304,0.5423,pos,0.03576363636363636,0.31642,0.45219963290564485,10,0.29408929,0.018738454545454534,1,0,0.09090909090909094,0.04151125541125538,0.03923636363636367,0.5423
922,Ross,That looked upon ’t.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.013909090909090911,0.31642,0.45219963290564485,10,0.0,0.005167865454545443,0,0,-0.09090909090909094,0.008029004329004304,-0.004190909090909047,0.27115
923,Ross,Here comes the good,2,4,11,"Act 2, Scene 4",0.0,0.508,0.492,0.4404,pos,-0.040036363636363634,0.19653999999999996,0.27152421254834713,10,0.19395216,-0.021215454545454555,1,0,-0.09090909090909094,-0.05002683982683985,-0.030318181818181772,0.3275666666666667
924,Ross,Macduff.—,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.0017181818181818157,0.18611999999999998,0.32929932887875724,10,0.0,-0.005064340909090914,0,0,0.0,-0.006461038961038983,-0.021654545454545412,0.1468
925,Ross,"How goes the world, sir, now?",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,-0.0017181818181818157,0.24075999999999995,0.34929237037187044,10,0.0,-0.005064340909090914,0,0,0.0,0.006548484848484825,-0.05449090909090905,0.1468
927,Ross,Is ’t known who did this more than bloody deed?,2,4,11,"Act 2, Scene 4",0.261,0.739,0.0,-0.4902,neg,0.09096363636363636,0.22491999999999995,0.32134356691864846,11,-0.24029604000000002,0.04364151090909091,0,1,0.18181818181818182,0.09003982683982681,0.08749090909090912,-0.4902
929,Ross,"Alas the day,",2,4,11,"Act 2, Scene 4",0.512,0.488,0.0,-0.2732,neg,0.041663636363636375,0.22491999999999995,0.32134356691864846,12,-0.07463824,0.016906120909090907,0,1,0.09090909090909088,0.012196969696969685,0.1129363636363637,-0.2732
930,Ross,What good could they pretend?,2,4,11,"Act 2, Scene 4",0.192,0.411,0.397,0.3612,pos,0.041663636363636375,0.22491999999999995,0.32134356691864846,12,0.13046544000000002,0.016906120909090907,1,0,0.09090909090909088,0.012196969696969682,0.1129363636363637,0.04400000000000001
935,Ross,’Gainst nature still!,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.0016272727272727348,0.21089999999999995,0.2872083599061837,13,0.0,-0.0007258936363636388,0,0,0.0,0.018955844155844136,-0.03469090909090904,0.0
936,Ross,"Thriftless ambition, that will ravin up",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.02646363636363637,0.15625999999999993,0.21497878499982262,13,0.0,0.006059400909090906,0,0,0.09090909090909088,0.04379220779220777,0.022981818181818228,0.0
937,Ross,Thine own lives’ means. Then ’tis most like,2,4,11,"Act 2, Scene 4",0.0,0.715,0.285,0.4201,pos,0.02646363636363637,0.08401999999999996,0.18787443146953214,13,0.17648400999999997,0.006059400909090906,1,0,0.09090909090909088,0.030782683982683964,0.022981818181818228,0.14003333333333332
938,Ross,The sovereignty will fall upon Macbeth.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.07102727272727273,0.08401999999999996,0.18787443146953214,13,0.0,0.02790449545454545,0,0,0.1818181818181818,0.028484415584415557,0.06754545454545459,0.14003333333333332
941,Ross,Where is Duncan’s body?,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.12277272727272727,0.13865999999999995,0.19684338444560423,14,0.0,0.042654880909090906,0,0,0.36363636363636365,0.06434891774891771,0.08458181818181823,0.0
945,Ross,Will you to Scone?,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.08993636363636365,0.05463999999999995,0.12217875429058818,15,0.0,0.030794386363636354,0,0,0.2727272727272727,0.027898268398268387,-0.01811818181818177,0.0
947,Ross,"Well, I will thither.",2,4,11,"Act 2, Scene 4",0.0,0.588,0.412,0.2732,pos,0.12825454545454545,0.05463999999999995,0.12217875429058818,16,0.07463824,0.046945499999999994,1,0,0.36363636363636365,0.0662164502164502,0.031836363636363676,0.2732
950,Ross,"Farewell, father.",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.10955454545454546,0.11383999999999994,0.15609012781082582,17,0.0,0.04309891,0,0,0.2727272727272727,0.03139740259740258,0.02930909090909095,0.0
1260,Ross,"His absence, sir,",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.07136363636363638,0.11383999999999994,0.15609012781082582,18,0.0,0.027054909090909088,0,0,0.1818181818181818,-0.08899826839826841,-0.06837272727272722,0.0
1261,Ross,Lays blame upon his promise. Please ’t your,3,4,15,"Act 3, Scene 4",0.2,0.417,0.383,0.296,pos,0.07136363636363638,0.14349999999999996,0.2014429199550085,18,0.08761599999999999,0.027054909090909088,1,0,0.1818181818181818,-0.09531255411255413,-0.03944545454545449,0.148
1262,Ross,Highness,3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.07136363636363638,0.18463999999999997,0.25258804999445233,18,0.0,0.027054909090909088,0,0,0.1818181818181818,-0.09531255411255413,-0.03458181818181813,0.09866666666666667
1263,Ross,To grace us with your royal company?,3,4,15,"Act 3, Scene 4",0.0,0.682,0.318,0.4215,pos,0.07136363636363638,0.18463999999999997,0.25258804999445233,18,0.17766225,0.027054909090909088,1,0,0.1818181818181818,-0.06126493506493508,-0.01400909090909086,0.23916666666666667
1273,Ross,"Gentlemen, rise. His Highness is not well.",3,4,15,"Act 3, Scene 4",0.232,0.768,0.0,-0.2057,neg,0.05121818181818183,0.12543999999999994,0.22948900409387796,19,-0.042312489999999994,0.020511665454545455,0,1,0.1818181818181818,-0.08266753246753247,-0.16691818181818177,-0.2057
1352,Ross,"What sights, my",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.10189090909090909,0.12543999999999994,0.22948900409387796,20,0.0,0.048756643636363645,0,0,0.2727272727272727,-0.0003995670995671219,0.13689090909090912,0.0
1353,Ross,lord?,3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.11693636363636366,0.041139999999999954,0.09199183659434085,20,0.0,0.05124666636363637,0,0,0.36363636363636365,0.04187922077922078,0.04561818181818186,0.0
